main_step,sub_step_number,sub_step_name,sub_step_description,estimated_time_minutes,requires_judgment,requires_system_access,requires_external_data,status,assigned_to
Pull complete sales transaction data,1.1,Access Shopify Admin,Log into Shopify admin dashboard and navigate to Orders section,2,No,Yes,No,Not Started,Pip
Pull complete sales transaction data,1.2,Set date filters,Configure date filter for previous day's transactions,1,No,Yes,No,Not Started,Pip
Pull complete sales transaction data,1.3,Export order data,Download CSV export of all orders including line items, discounts, and taxes,3,No,Yes,No,Not Started,Pip
Pull complete sales transaction data,1.4,Verify data completeness,Check export for missing orders or incomplete data,5,Yes,No,No,Not Started,Human
Pull complete sales transaction data,1.5,Save and organize,Save export with proper naming convention in designated folder,1,No,No,No,Not Started,Pip
Extract payment processor settlement reports,2.1,Access Stripe Dashboard,Log into Stripe dashboard and navigate to Payments section,2,No,Yes,No,Not Started,Pip
Extract payment processor settlement reports,2.2,Set date range,Configure date filter for previous day's transactions,1,No,Yes,No,Not Started,Pip
Extract payment processor settlement reports,2.3,Download settlement report,Export detailed settlement report including fees and net amounts,3,No,Yes,No,Not Started,Pip
Extract payment processor settlement reports,2.4,Review for anomalies,Check for unusual transaction patterns or amounts,5,Yes,No,No,Not Started,Human
Extract payment processor settlement reports,2.5,Document findings,Note any unusual transactions or patterns for investigation,3,Yes,No,No,Not Started,Human
Reconcile platform sales against payment processor,3.1,Load data into reconciliation tool,Import both Shopify and Stripe data into reconciliation software,3,No,Yes,No,Not Started,Pip
Reconcile platform sales against payment processor,3.2,Match transactions,Run automated matching of orders to payments,5,No,Yes,No,Not Started,Pip
Reconcile platform sales against payment processor,3.3,Review unmatched items,Analyze and resolve any unmatched transactions,15,Yes,No,No,Not Started,Human
Reconcile platform sales against payment processor,3.4,Document discrepancies,Create detailed log of any reconciliation differences,10,Yes,No,No,Not Started,Human
Reconcile platform sales against payment processor,3.5,Update reconciliation tracker,Record final reconciliation status in tracking system,5,No,Yes,No,Not Started,Pip
Identify and investigate discrepancies,4.1,Review reconciliation report,Analyze the reconciliation report for patterns,10,Yes,No,No,Not Started,Human
Identify and investigate discrepancies,4.2,Check known issues,Review known system issues that might cause discrepancies,5,Yes,No,No,Not Started,Human
Identify and investigate discrepancies,4.3,Investigate specific cases,Look into individual transaction discrepancies,20,Yes,No,No,Not Started,Human
Identify and investigate discrepancies,4.4,Document root causes,Record findings and potential solutions,10,Yes,No,No,Not Started,Human
Identify and investigate discrepancies,4.5,Update process documentation,Note any process improvements needed,5,Yes,No,No,Not Started,Human
Process and account for all returns and refunds,5.1,Review return requests,Check all return requests from previous day,10,Yes,Yes,No,Not Started,Human
Process and account for all returns and refunds,5.2,Verify refund processing,Confirm all refunds were processed correctly,15,Yes,Yes,No,Not Started,Human
Process and account for all returns and refunds,5.3,Update inventory records,Adjust inventory for returned items,10,No,Yes,No,Not Started,Pip
Process and account for all returns and refunds,5.4,Document return reasons,Record reasons for returns for analysis,5,Yes,No,No,Not Started,Human
Process and account for all returns and refunds,5.5,Update financial records,Record refund transactions in accounting system,10,No,Yes,No,Not Started,Pip
Reconcile gift card sales and redemptions,6.1,Pull gift card transactions,Export gift card activity from previous day,5,No,Yes,No,Not Started,Pip
Reconcile gift card sales and redemptions,6.2,Verify sales against payments,Match gift card sales to payment processor transactions,10,Yes,No,No,Not Started,Human
Reconcile gift card sales and redemptions,6.3,Check redemptions,Verify all gift card redemptions were processed correctly,15,Yes,Yes,No,Not Started,Human
Reconcile gift card sales and redemptions,6.4,Update liability account,Adjust gift card liability in accounting system,5,No,Yes,No,Not Started,Pip
Reconcile gift card sales and redemptions,6.5,Calculate breakage,Estimate and record gift card breakage,10,Yes,No,No,Not Started,Human
Ensure proper tax collection,7.1,Review tax settings,Verify tax settings in e-commerce platform,5,Yes,Yes,No,Not Started,Human
Ensure proper tax collection,7.2,Check tax calculations,Review tax calculations on transactions,15,Yes,No,No,Not Started,Human
Ensure proper tax collection,7.3,Verify jurisdiction rates,Confirm correct tax rates for all jurisdictions,10,Yes,No,No,Not Started,Human
Ensure proper tax collection,7.4,Document tax issues,Record any tax calculation discrepancies,5,Yes,No,No,Not Started,Human
Ensure proper tax collection,7.5,Update tax records,Record tax liabilities in accounting system,10,No,Yes,No,Not Started,Pip
