Expense ID,Date,Vendor,Category,Subcategory,Description,Amount,Payment Method,Payment Status,GL Account,Department,Project,Fixed/Variable,Recurring,Frequency,Notes,Receipt ID,Approver,Cost Center
EXP-2024-0401,2024-04-01,ADP Payroll Services,Personnel,Payroll Processing,Monthly payroll processing fee,189.50,ACH,Paid,6010,Administration,OPS-2024,Fixed,Yes,Monthly,Standard monthly service,RCPT-4001,James White,ADMIN
EXP-2024-0402,2024-04-01,First National Bank,Finance,Bank Fees,Monthly account maintenance fee,35.00,Auto-debit,Paid,6110,Finance,OPS-2024,Fixed,Yes,Monthly,Business checking account fee,RCPT-4002,James White,FIN
EXP-2024-0403,2024-04-02,Warehouse Properties LLC,Facilities,Rent,Warehouse rent - April 2024,4850.00,ACH,Paid,6210,Operations,OPS-2024,Fixed,Yes,Monthly,10000 sq ft warehouse space,RCPT-4003,James White,OPER
EXP-2024-0404,2024-04-02,Eastside Office Park,Facilities,Rent,Office rent - April 2024,2750.00,ACH,Paid,6210,Administration,OPS-2024,Fixed,Yes,Monthly,1500 sq ft office space,RCPT-4004,James White,ADMIN
EXP-2024-0405,2024-04-03,City Power & Light,Utilities,Electricity,Electricity bill - April 2024,1248.75,ACH,Paid,6220,Operations,OPS-2024,Variable,Yes,Monthly,Combined warehouse and office,RCPT-4005,John Anderson,OPER
EXP-2024-0406,2024-04-03,City Water Services,Utilities,Water & Sewage,Water and sewage bill - April 2024,342.18,ACH,Paid,6220,Operations,OPS-2024,Variable,Yes,Monthly,Combined warehouse and office,RCPT-4006,John Anderson,OPER
EXP-2024-0407,2024-04-03,Comcast Business,Utilities,Internet & Phone,Internet and phone service - April 2024,348.92,ACH,Paid,6230,Technology,TECH-2024,Fixed,Yes,Monthly,Gigabit business internet and phone lines,RCPT-4007,Daniel Wilson,TECH
EXP-2024-0408,2024-04-04,Office Depot,Office Supplies,General Supplies,Office supplies,128.42,Credit Card,Paid,6310,Administration,OPS-2024,Variable,No,As Needed,Paper, pens, binders,RCPT-4008,John Anderson,ADMIN
EXP-2024-0409,2024-04-05,Hartford Insurance,Insurance,Business Insurance,Business liability insurance - April 2024,1275.00,ACH,Paid,6410,Administration,OPS-2024,Fixed,Yes,Monthly,General business liability coverage,RCPT-4009,James White,ADMIN
EXP-2024-0410,2024-04-05,Blue Cross Blue Shield,Insurance,Health Insurance,Employee health insurance - April 2024,4580.00,ACH,Paid,6420,Human Resources,OPS-2024,Fixed,Yes,Monthly,Employee health benefits,RCPT-4010,James White,HR
EXP-2024-0411,2024-04-05,Amazon,Office Supplies,Technology,USB drives and cables,85.97,Credit Card,Paid,6320,Technology,TECH-2024,Variable,No,As Needed,IT department supplies,RCPT-4011,Daniel Wilson,TECH
EXP-2024-0412,2024-04-05,Staples,Office Supplies,Organization,Folders and organizers,43.25,Credit Card,Paid,6310,Administration,OPS-2024,Variable,No,As Needed,File organization supplies,RCPT-4012,Michelle Thompson,ADMIN
EXP-2024-0413,2024-04-07,Delta Airlines,Travel,Airfare,Flight to supplier meeting,547.89,Credit Card,Paid,6610,Management,MGMT-2024,Variable,No,As Needed,Operations Director travel to supplier,RCPT-4013,James White,MGMT
EXP-2024-0414,2024-04-08,Uber,Travel,Ground Transportation,Airport transportation,28.45,Credit Card,Paid,6620,Management,MGMT-2024,Variable,No,As Needed,Airport to hotel transportation,RCPT-4014,James White,MGMT
